,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,ushuaia,ar,6,93,90,6.2,-54.81,-68.31
1,marawi,sd,34.85,10,0,3.22,18.48,31.82
2,saint-ambroise,ca,-17.55,64,90,8.7,48.56,-71.32
3,greeneville,us,9.66,71,90,1.37,36.16,-82.83
4,mount gambier,au,17.2,64,88,4.97,-37.83,140.78
5,severo-kurilsk,ru,-4.85,100,88,1.37,50.68,156.12
6,qaanaaq,gl,-27.45,99,0,4.02,77.48,-69.36
7,hobart,au,15,54,75,6.7,-42.88,147.33
8,vaini,to,22,94,20,4.02,-21.2,-175.2
9,tuatapere,nz,18.5,79,68,7.62,-46.13,167.69
10,brynmawr,gb,-0.73,86,90,11.8,51.8,-3.17
11,barrow,us,3.09,100,90,2.27,39.51,-90.4
12,bathsheba,bb,28,61,40,8.2,13.22,-59.52
13,dawei,mm,24.15,70,0,0.67,14.07,98.19
14,kapaa,us,21,100,90,4.17,22.08,-159.32
15,geraldton,au,19,82,0,5.7,-28.77,114.6
16,cockburn town,tc,24.45,100,68,1.77,21.46,-71.14
17,kita,ml,37.65,16,64,3.47,13.04,-9.49
18,esperantinopolis,br,30.25,73,36,1.87,-4.87,-44.71
19,ratnagiri,in,28.2,96,0,2.82,16.98,73.3
20,kluczbork,pl,-6.35,85,20,8.97,50.97,18.21
21,victoria,sc,29,74,20,2.1,-4.62,55.45
22,tuktoyaktuk,ca,-25.8,75,40,2.1,69.44,-133.03
23,lysva,ru,-11.6,81,80,5.92,58.11,57.8
24,nikolskoye,ru,0,91,75,9,59.7,30.79
25,roald,no,1.96,69,75,10.8,62.58,6.12
26,hasaki,jp,10.47,76,75,2.6,35.73,140.83
27,chuy,uy,26.85,83,56,10.12,-33.69,-53.46
28,talnakh,ru,-9.5,85,80,6.47,69.49,88.39
29,ilulissat,gl,2,51,20,9.3,69.22,-51.1
30,cherskiy,ru,-24.2,57,24,4.27,68.75,161.3
31,ahipara,nz,18.55,96,12,5.87,-35.17,173.16
32,venezuela,cu,26.7,80,0,2.52,21.74,-78.8
33,punta arenas,cl,11,57,75,20.1,-53.16,-70.91
34,upernavik,gl,-14.7,100,36,9.52,72.79,-56.15
35,severo-yeniseyskiy,ru,-1.2,71,24,3.67,60.37,93.04
36,hermanus,za,23.1,51,0,2.87,-34.42,19.24
37,sao joao da barra,br,25.4,100,8,1.72,-21.64,-41.05
38,kavieng,pg,27.15,100,68,6.37,-2.57,150.8
39,la palma,pa,26.25,98,68,2.67,8.4,-78.14
40,bandarbeyla,so,26,100,0,4.37,9.49,50.81
41,dargaville,nz,18.55,90,68,6.42,-35.94,173.86
42,new norfolk,au,15,54,75,6.7,-42.78,147.06
43,dikson,ru,-21,100,56,16.92,73.51,80.55
44,mangrol,in,22,30,0,2.77,25.33,76.51
45,morondava,mg,27.85,86,92,0.87,-20.3,44.28
46,torbay,ca,-2,86,90,12.9,47.66,-52.73
47,saint-philippe,re,28,74,0,2.6,-21.36,55.77
48,pechenga,ru,-12.25,81,56,3.67,58.89,41.46
49,pevek,ru,-31.1,72,20,3.47,69.7,170.27
50,aklavik,ca,-24.82,75,90,1,68.22,-135.01
51,luangwa,zm,25.05,71,56,2.62,-12.88,28.25
52,khatanga,ru,-30.6,34,12,6.42,71.98,102.47
53,avarua,ck,25,88,20,2.1,-21.21,-159.78
54,jamestown,sh,24.3,100,44,5.22,-15.94,-5.72
55,albany,au,12.65,93,8,1.77,-35.02,117.88
56,punto fijo,ve,29.15,62,24,6.57,11.69,-70.21
57,nybro,se,1.11,52,0,4.1,56.75,15.91
58,kirakira,sb,28.05,100,100,4.77,-10.46,161.92
59,pisco,pe,24,69,0,4.6,-13.71,-76.2
60,cape town,za,21,77,20,9.8,-33.93,18.42
61,busselton,au,17.4,100,0,6.87,-33.64,115.35
62,marrakesh,ma,20,40,75,2.6,31.63,-7.99
63,kruisfontein,za,22.25,73,0,1.07,-34,24.73
64,dandong,cn,-3.1,77,0,0.97,40.12,124.37
65,luderitz,na,24,57,0,10.8,-26.65,15.16
66,sitka,us,6.8,90,92,6.22,37.17,-99.65
67,beringovskiy,ru,-8.1,97,88,5.27,63.05,179.32
68,ofaqim,il,22.95,36,32,3.12,31.31,34.62
69,arraial do cabo,br,29,62,40,5.1,-22.97,-42.02
70,rikitea,pf,26.15,100,68,7.17,-23.12,-134.97
71,taree,au,22,88,0,1.17,-31.91,152.46
72,saskylakh,ru,-36.35,60,0,4.97,71.97,114.09
73,sur,om,25.3,86,0,1.72,22.57,59.53
74,sao jose da coroa grande,br,27.75,100,20,2.32,-8.9,-35.15
75,high rock,bs,25,69,40,5.1,26.63,-78.28
76,egvekinot,ru,-23.8,69,68,3.57,66.32,-179.17
77,tangping,cn,5.75,82,88,1.27,33.69,105.67
78,baghdad,iq,25,25,0,5.1,33.3,44.38
79,hirara,jp,22.35,100,80,4.67,24.8,125.28
80,ust-ilimsk,ru,-3.45,88,44,2.67,57.96,102.73
81,longyearbyen,sj,-7,73,90,12.9,78.22,15.64
